old_filename,old_ID,new_ID
1.TPS,0,0
1.TPS,1,1
1.TPS,2,2
1.TPS,3,3
1.TPS,4,4
1.TPS,5,5
1.TPS,6,6
1.TPS,7,7
1.TPS,8,8
1.TPS,9,9
1.TPS,10,10
1.TPS,11,11
1.TPS,12,12
1.TPS,13,13
1.TPS,14,14
1.TPS,15,15
1.TPS,16,16
1.TPS,17,17
1.TPS,18,18
1.TPS,19,19
1.TPS,20,20
1.TPS,21,21
1.TPS,22,22
1.TPS,23,23
1.TPS,24,24
1.TPS,25,25
1.TPS,26,26
1.TPS,27,27
1.TPS,28,28
1.TPS,29,29
1.TPS,30,30
1.TPS,31,31
1.TPS,32,32
1.TPS,33,33
1.TPS,34,34
1.TPS,35,35
1.TPS,36,36
1.TPS,37,37
1.TPS,38,38
1.TPS,39,39
1.TPS,40,40
1.TPS,41,41
1.TPS,42,42
1.TPS,43,43
1.TPS,44,44
1.TPS,45,45
1.TPS,46,46
1.TPS,47,47
1.TPS,48,48
1.TPS,49,49
2.TPS,0,50
2.TPS,1,51
2.TPS,2,52
2.TPS,3,53
2.TPS,4,54
2.TPS,5,55
2.TPS,6,56
2.TPS,7,57
2.TPS,8,58
2.TPS,9,59
2.TPS,10,60
2.TPS,11,61
2.TPS,12,62
2.TPS,13,63
2.TPS,14,64
2.TPS,15,65
2.TPS,16,66
2.TPS,17,67
2.TPS,18,68
2.TPS,19,69
2.TPS,20,70
2.TPS,21,71
2.TPS,22,72
2.TPS,23,73
2.TPS,24,74
2.TPS,25,75
2.TPS,26,76
2.TPS,27,77
2.TPS,28,78
2.TPS,29,79
2.TPS,30,80
2.TPS,31,81
2.TPS,32,82
2.TPS,33,83
2.TPS,34,84
2.TPS,35,85
2.TPS,36,86
2.TPS,37,87
2.TPS,38,88
2.TPS,39,89
2.TPS,40,90
2.TPS,41,91
2.TPS,42,92
2.TPS,43,93
2.TPS,44,94
2.TPS,45,95
2.TPS,46,96
2.TPS,47,97
2.TPS,48,98
2.TPS,49,99
